#ind,TIC,period_2g,period_2g_sigma_low,period_2g_sigma_high,chi2_2g,period_pf,period_pf_sigma_low,period_pf_sigma_high,chi2_pf,period_combined,period_combined_sigma_low,period_combined_sigma_high
3989,299702740,1.46519213,0.00001388,0.00004582,52842.38679989,1.46523059,0.00006276,0.00006830,46878.16137198,1.46520911,0.00003353,0.00006171
3990,299903137,18.49241997,0.49878564,0.52576352,13355437.49475471,16.87252111,0.00051805,0.00052692,15047054.55457475,17.67277392,0.80224772,1.08687701
3991,300443831,NaN,0.00000005,0.00000004,NaN,0.84744575,0.00000028,0.00000646,12305869.52444280,0.84744575,0.00000028,0.00000646
3992,300871545,NaN,0.00000196,0.00000221,NaN,4.81709316,0.00001625,0.00002801,254518.19030244,4.81709316,0.00001625,0.00002801
3993,300972613,0.77611259,0.00000194,0.00000179,27364.18117754,0.77609497,0.00000153,0.00000168,191224.34878964,0.77611227,0.00000300,0.00000198
3994,301022235,1.87235706,0.00000076,0.00000072,36134053.69228888,1.87179285,0.00001460,0.00022670,32036636.01271241,1.87215553,0.00037006,0.00020192
3995,301063488,7.33596083,0.00022962,0.00022316,370162.55841050,7.35091382,0.00053255,0.00337984,467023.62906889,7.33622746,0.00040685,0.01586306
3996,301264684,9.36538516,0.00273496,0.00260437,44813.46060967,9.37114263,0.00218809,0.00167846,43585.67159544,9.36856465,0.00443062,0.00347002
3997,302043038,16.72120713,0.00001621,0.00001558,415145.59916220,16.72122698,0.00002695,0.00002569,3234339.32754529,16.72120847,0.00001672,0.00001784
3998,302384263,NaN,0.00015797,0.00017659,NaN,7.49542655,0.00000000,0.00000000,545840.44008395,7.49542655,0.00000000,0.00000000
3999,302457456,0.97518224,0.00000042,0.00000043,1893069.23148904,0.97517975,0.00000050,0.00000045,3106527.94023876,0.97518189,0.00000224,0.00000064
4000,302668828,NaN,0.00001221,0.00035319,NaN,5.51051070,0.00026197,0.00000000,19102881.26029511,5.51051070,0.00026197,0.00000000
4001,302771290,1.19523976,0.00000000,0.00000000,1711969632.30711675,1.19524112,0.00000001,0.00000000,1859112684.22170806,1.19524111,0.00000001,0.00000000
4002,302995864,1.28143645,0.00000055,0.00000053,2752338.94265796,1.28049716,0.00000000,0.00000000,31742474.89022812,1.28143646,0.00000056,0.00000053
4003,303255899,2.27146531,0.00000506,0.00000526,59554.85672609,2.27147741,0.00000295,0.00000317,59073.02362778,2.27147311,0.00001027,0.00000590
4004,303427297,4.29737240,0.00011507,0.00012148,30733.96228927,4.29601781,0.00022096,0.00017516,58786.27405217,4.29728801,0.00129621,0.00016817
4005,303811839,6.92042737,0.00020491,0.00025070,55621.49467877,6.91925056,0.00003275,0.00024615,62421.16433634,6.92009342,0.00085714,0.00045912
4006,303833577,0.27851211,0.00000004,0.00000004,639471.37672200,0.27851814,0.00000050,0.00000063,1559834.71902179,0.27851213,0.00000005,0.00000593
4007,303909865,2.12667252,0.00000004,0.00000004,4749722.73889741,2.12667177,0.00000001,0.00000001,70339189.91439846,2.12667252,0.00000005,0.00000004
4008,305399324,6.10019498,0.00000146,0.00000150,8612531.22697672,6.10006507,0.00000088,0.00000313,7958777.79112911,6.10007015,0.00000553,0.00012547
4009,305399325,6.10019553,0.00000144,0.00000148,8593685.51083523,6.10020725,0.00000096,0.00000099,8718269.95060402,6.10019889,0.00000406,0.00000886
4010,305466425,3.29921474,0.00001666,0.00001619,114818.79475955,3.29912306,0.00002538,0.00002601,112536.04725212,3.29917960,0.00006810,0.00004269
4011,305466446,6.59985499,0.00000765,0.00000810,112222.81382560,6.59984559,0.00000810,0.00002440,249147.85650346,6.59985386,0.00001083,0.00001002
4012,305675525,0.29654817,0.00000090,0.00000094,324946.52033384,0.29654660,0.00000296,0.00000121,315856.36150243,0.29654750,0.00000233,0.00000123
4013,306130391,4.64538106,0.00007003,0.00007635,72481.39224341,4.64512053,0.00013680,0.00013871,169646.32613542,4.64534720,0.00022020,0.00009252
4014,306272819,2.54607679,0.00000751,0.00000809,37582.06183074,2.54616761,0.00008738,0.00003827,103808.87972726,2.54607932,0.00000966,0.00006360
4015,306635088,17.00432339,0.00046014,0.00056852,63853.93150525,17.00466705,0.00048417,0.00039366,59803.13180210,17.00451502,0.00052106,0.00048576
